view_id,view_name,content_url,workbook_id,workbook_name,project_name
5f493202-f502-4d46-9b80-f982fe4d85a3,Resumen diario - TT - Alerta,activ_2/sheets/Resumendiario-TT-Alerta,af88aac2-74dc-422f-a190-f37080b6a206,Activtrack AR,ActivTrack AR
cd2a8d8a-2436-4c6b-83da-50aa2f649866,Resumen mensual,activ_2/sheets/Resumenmensual,af88aac2-74dc-422f-a190-f37080b6a206,Activtrack AR,ActivTrack AR
71ab8093-7932-4fe9-92ae-ed499ee940d0,Alan_Mori,Alan_Mori_Semanal_IT_V2/sheets/Alan_Mori,8ec50fda-ec7a-417c-a331-5555154a247d,Alan_Mori_Semanal_IT_V2,IT Reportes Semanales - Productividad
70c84de7-3736-4352-ad17-abecd13cf843,Resumen diario  - Alerta,AlertasActivTrackEC_PE_UY/sheets/Resumendiario-Alerta,16673956-b3bf-4530-aafa-bfa50124ebc6,Alertas ActivTrack EC_PE_UY,ActivTrack EC_PE_UY
1bc49e45-639d-4b36-92fd-03b4ed73e36d,Resumen diario  - Alerta,AlertasActivTrackMX_CO_CR/sheets/Resumendiario-Alerta,f1a8f74a-c099-41bc-b425-f6b32057ea1e,Alertas ActivTrack MX_CO_CR,ActivTrack MX_CO_CR
e5765b98-7a93-4cfe-aaef-9495e763f979,Resumen diario  - Alerta,AlertasActivTrack_16717271995620/sheets/Resumendiario-Alerta,43d6b42c-e901-4d68-9950-9aa17027347d,Alertas ActivTrack PY_PA_CL,ActivTrack PY_PA_CL
9bc310ea-7516-4ed8-aa6c-b27d8d8761e1,FIN_Análisis_Portal_BT,Anlisis_PortalBT/sheets/FIN_Anlisis_Portal_BT,8073dfea-ce2a-4f1a-a6e5-c28ab12adb7c,Análisis_Portal BT,Sistemas y tecnología
08dd342d-c652-4b27-976f-23519518ecaf,Hoja 1,BICamposReglasConciliacion/sheets/Hoja1,d21c2806-fabe-4eaa-b0f5-3ee9ca66a4be,BI | Campos Reglas Conciliacion,Validaciones
1c070cd1-c090-4f53-b8c1-00ba8a617da3,Hoja 1,BTErrorCronPagosMP/sheets/Hoja1,94eba2b7-fe13-4ead-963f-3003a9443c07,BT | Error Cron Pagos MP,Validaciones
756751ab-bc9c-47c5-ac26-08234adac6b9,Sheet 1,BTMPPagosCancelados-Stock/sheets/Sheet1,f815f123-ecf5-40bd-8811-25da47ad47a5,BT | MP Pagos Cancelados - Stock,Validaciones
5802017d-219c-4dc2-ab1f-721be5bfe98f,Sheet 1 (2),BTMPPagosCancelados-Stock/sheets/Sheet12,f815f123-ecf5-40bd-8811-25da47ad47a5,BT | MP Pagos Cancelados - Stock,Validaciones
2c4ddfda-03d1-44d2-ad60-4e025e41b0c9,No Procesadas,BTOrdenestiendadiferencia/sheets/NoProcesadas,2fbc08bf-5bc9-424b-96f6-56f76110a50f,BT | Ordenes tienda diferencia,Validaciones
fc192cbd-8986-4135-9b26-3577128d663b,Procesadas,BTOrdenestiendadiferencia/sheets/Procesadas,2fbc08bf-5bc9-424b-96f6-56f76110a50f,BT | Ordenes tienda diferencia,Validaciones
bb7f9962-4a5a-4855-b6b2-4ae1cf3b26d2,FIN_MAP_INTERACTION,BTReporteMapInteractions/sheets/FIN_MAP_INTERACTION,8d079ce1-2070-45f1-85fa-b1caeec7b6a8,BT | Reporte Map Interactions,Validaciones
ced5c40a-a53b-4aef-8ac0-d3c93e0b6511,Bamboo_Validation,BTSeguimientoBamboo/sheets/Bamboo_Validation,31288e47-6db9-4d41-bca8-dadeaba6b7d1,BT | Seguimiento Bamboo,Validaciones
df05a277-635c-4984-b436-8860a3003904,Fiserv_Validation,BTSeguimientoFiserv/sheets/Fiserv_Validation,fdbfee59-cdb4-4041-b840-9b5fde205921,BT | Seguimiento Fiserv,Validaciones
e65190e2-db7d-4b5d-a890-bba8563598f3,Hoja 2,BTSeguimientoFiserv/sheets/Hoja2,fdbfee59-cdb4-4041-b840-9b5fde205921,BT | Seguimiento Fiserv,Validaciones
4e234acd-3c89-49f1-9ef8-527595fa7256,FIN_Validacion,Libro1/sheets/FIN_Validacion,68a92ce4-1364-4131-930c-4fb68bf14971,BT | Validacion Ventas -3,Validaciones
